tweet_id,user_id
1381815022674870275,1315411682278154241
1381712311329697793,2724358434
1381644715163017218,22111533
1381814960657866754,2548964120
1381814942429442050,1269399924254228481
1381814936569974784,1049789013475774464
1381814927929847808,1122432249700524038
1381814736199761928,1011319446932160513
1381814631182729220,177437962
1381814897453973505,1320331129090678784
1381812368028495879,123361053
1381812368028495879,291673084
1381814858778345473,33757562
1381814855213084672,1566811826
1381814855213084672,1355735181571723265
1381814855213084672,719517668701822976
1381814855213084672,2976716104
1381814855213084672,288227258
1381814853178888194,1052879415862910978
1381814853178888194,2805026880
1381627781176385537,747480042
1381627781176385537,2367911
1381627781176385537,2367911
1381511093697273856,71567486
1379828937719574528,1014176307599441924
1381814826993876992,308858445
1381814826993876992,73283784
1381814826993876992,24665054
1381814808559845376,14205646
1381700657200181253,151106990
1381700657200181253,1618037664
1381814791472181248,22666390
1381814791329746950,939231415601913856
1381814791329746950,1124119272588967936
1381632227444936705,747480042
1381632227444936705,2367911
1381632227444936705,2367911
1375756354024042498,26939677
1381814736598274050,226812203
1381814736199761928,1011319446932160513
1381814732626276359,964768062
1381814723738411010,920197816420626432
1381814723738411010,551943520
1381814723738411010,2415916399
1381814716968923137,16331762
1381814713512685570,1326538979177500673
1381814706281836544,1322921678842683395
1381814706281836544,914319219847761920
1381814699105345537,10228272
1381814695619751939,860190133060067329
1381814695552720903,917483407
1381814692209827844,734324101
1381814692209827844,159024741
1381814677563437059,1041909897959534592
1381814677563437059,1362222203723534336
1381814677563437059,774070503569055744
1381814677563437059,411589577
1381814677563437059,1064568793
1381814677563437059,4657355657
1381814040758939648,50427950
1381814040758939648,1273505391553449985
1381814040758939648,1278295031766380544
1381814040758939648,2354465522
1381814650883481603,204898868
1381814649147027456,10228272
1381814631182729220,177437962
1381814618662789123,2310947130
1381810438082424833,505145626
1381814598945415170,1163039881796435968
1381814576992387074,23908002
1380809527663149057,1022601625897197568
1381814531375071232,165426324
1381814528585781248,1087679532
1381667001400057859,3065261233
1381814525268230147,22743752
1381614104599617538,321380775
1381614104599617538,392608775
1249543096305500160,72539202
1381814500018413571,10228272
1381814481718702082,1213227521392558080
1381814446809616384,20659789
1381617874842882049,2176527421
1381814403704623106,1292842986515111937
1381814403704623106,322918727
1381814385467867142,2997128655
1381814385467867142,28745526
1381814367784734728,1296353992608366593
1381814354836881409,986274319021035520
1381814350025924610,1124258780064014337
1381814344627802116,10228272
1381814339615612928,15687962
1381814319940214786,1082135629612216320
1381814319940214786,96683173
1381814315045384195,1361858209091252225
1381811045132611585,410949182
1381811045132611585,10228272
1381814280186646528,63785546
1381814275879149568,114978028
1381814275879149568,138879166
1381814248385351682,850599174
1381632848160034818,1260386161
1381632848160034818,1595623284
1381814244820275201,168554665
1381814239011217411,10228272
1381814236540772354,3007041
1381814236540772354,25987400
1381814236540772354,90613386
