tweet_id,user_id,retweeted_on
1381296600333565959,1107310280,2021-04-13 03:42:30
1381762216182095875,2654543552,2021-04-13 03:42:27
1381712311329697793,479296517,2021-04-13 03:42:26
1381804352080330753,700544608275566592,2021-04-13 03:42:24
1381787939139690498,43545377,2021-04-13 03:42:24
1381809103392149506,1367547547,2021-04-13 03:42:24
1381811923101048834,855039662,2021-04-13 03:42:24
1381713925100744707,275575298,2021-04-13 03:42:23
1381622293391085569,586685768,2021-04-13 03:42:21
1381622293391085569,735289241513525248,2021-04-13 03:42:21
1381622293391085569,1266458059477585920,2021-04-13 03:42:20
1381648933034676227,837491575211044870,2021-04-13 03:42:20
1381581613859958789,1322136336157962242,2021-04-13 03:42:20
1381764396213534722,1370244703237640195,2021-04-13 03:42:18
1381801812190244865,1097033813815771136,2021-04-13 03:42:18
1381715783479226371,1893573613,2021-04-13 03:42:18
1381644715163017218,304674702,2021-04-13 03:42:15
1381787939139690498,1644167082,2021-04-13 03:42:11
1381445045925068802,1302331302662807552,2021-04-13 03:42:11
1381787939139690498,7704852,2021-04-13 03:42:07
1381814233957040129,803721248,2021-04-13 03:42:06
1381622293391085569,998261331349426177,2021-04-13 03:42:05
1381523651690778624,2590687291,2021-04-13 03:42:05
1374403838032015368,1337430590241562626,2021-04-13 03:42:04
1381562746525806593,15275899,2021-04-13 03:42:03
1381814736199761928,1011319446932160513,2021-04-13 03:42:03
1381496771466076165,1030840119723470848,2021-04-13 03:42:03
1381651062482997248,87534525,2021-04-13 03:42:03
1381623233405841409,1213366341161209857,2021-04-13 03:42:01
1381814631182729220,2566283322,2021-04-13 03:42:01
1381622293391085569,1243190709777301506,2021-04-13 03:42:00
1381622293391085569,891709901159923713,2021-04-13 03:42:00
1381581613859958789,1313393410250739712,2021-04-13 03:42:00
1381729434919649281,1883354443,2021-04-13 03:41:59
1374403838032015368,934888860168925186,2021-04-13 03:41:58
1381787939139690498,2222314358,2021-04-13 03:41:55
1381770107114950658,907738351486341120,2021-04-13 03:41:54
1381814216286343168,896872855509491712,2021-04-13 03:41:54
1381812368028495879,750959971,2021-04-13 03:41:51
1381622293391085569,1240199010675113984,2021-04-13 03:41:49
1381627781176385537,1373611388224999433,2021-04-13 03:41:47
1381622293391085569,1258407240710660096,2021-04-13 03:41:46
1381804352080330753,1270211818133299202,2021-04-13 03:41:46
1381511093697273856,231003072,2021-04-13 03:41:46
1381622293391085569,1246986370242904064,2021-04-13 03:41:44
1349443177896316928,35247174,2021-04-13 03:41:44
1381622293391085569,2570826023,2021-04-13 03:41:43
1381787939139690498,116317313,2021-04-13 03:41:43
1379828937719574528,1070557092086456320,2021-04-13 03:41:43
1381777806267326465,430459707,2021-04-13 03:41:39
1381296600333565959,17449331,2021-04-13 03:41:37
1381634857009287170,1247841857310056448,2021-04-13 03:41:36
1381777806267326465,897952390434873345,2021-04-13 03:41:36
1381331196420964352,35247174,2021-04-13 03:41:35
1356982772414500867,107767604,2021-04-13 03:41:35
1381700657200181253,3271295636,2021-04-13 03:41:35
1381798533129367556,362708080,2021-04-13 03:41:34
1381632227444936705,1373611388224999433,2021-04-13 03:41:33
1381814233957040129,1196943300613287937,2021-04-13 03:41:33
1381813462813249544,1308964087741767680,2021-04-13 03:41:32
1370976247573061633,934888860168925186,2021-04-13 03:41:32
1381799339065016321,1096872709860950016,2021-04-13 03:41:31
1381814233957040129,262407995,2021-04-13 03:41:30
1381804352080330753,1333579575251456000,2021-04-13 03:41:28
1381802657191391240,1272700230,2021-04-13 03:41:27
1375756354024042498,1079955717522640896,2021-04-13 03:41:26
1381622293391085569,1308015835387105286,2021-04-13 03:41:24
1381619232958480389,5286082,2021-04-13 03:41:23
1381623202024058880,1130252756,2021-04-13 03:41:22
1381622293391085569,730978991545290752,2021-04-13 03:41:22
1381623183804010498,1130252756,2021-04-13 03:41:20
1381581613859958789,1138826453196333057,2021-04-13 03:41:19
1380827575925227520,1415721967,2021-04-13 03:41:18
1381814216286343168,1281119563,2021-04-13 03:41:15
1381623202024058880,1126957815795470336,2021-04-13 03:41:15
1381623233405841409,815593771475746816,2021-04-13 03:41:15
1381622293391085569,393597089,2021-04-13 03:41:14
1381486015706193920,35247174,2021-04-13 03:41:14
1381622293391085569,773234909104091137,2021-04-13 03:41:13
1381804352080330753,1331929665951305728,2021-04-13 03:41:11
1381296600333565959,1086863189214560256,2021-04-13 03:41:11
1381623183804010498,815593771475746816,2021-04-13 03:41:11
1381622293391085569,61645872,2021-04-13 03:41:10
1381623183804010498,1126957815795470336,2021-04-13 03:41:10
1381809203992350721,821137984972029959,2021-04-13 03:41:08
1380480918243090433,1222246343953043459,2021-04-13 03:41:08
1381638449417969668,1325707895502036994,2021-04-13 03:41:07
1381616174832746504,571988433,2021-04-13 03:41:07
1381777806267326465,730080191297523716,2021-04-13 03:41:06
1381814040758939648,1278295031766380544,2021-04-13 03:41:05
1381804352080330753,847917772864729090,2021-04-13 03:41:04
1381657845301706761,1351601023907983364,2021-04-13 03:41:04
1381807300927754241,32627436,2021-04-13 03:41:03
1381622293391085569,862442975468683264,2021-04-13 03:41:03
1381777806267326465,797596394802610176,2021-04-13 03:41:01
1381623233405841409,1288103742579937281,2021-04-13 03:41:00
1381775478294372353,128565870,2021-04-13 03:40:58
1381787939139690498,48695977,2021-04-13 03:40:56
1374547287557373958,1371717058736521219,2021-04-13 03:40:55
1381777806267326465,1380695814708862979,2021-04-13 03:40:55
1381810535277199362,2356185354,2021-04-13 03:40:53
1381787939139690498,2666804178,2021-04-13 03:40:52
1381622293391085569,3228927000,2021-04-13 03:40:52
1381542638332051461,904428851740246016,2021-04-13 03:40:51
1381581613859958789,1069179143919562752,2021-04-13 03:40:50
1381622293391085569,846460068186984448,2021-04-13 03:40:50
1381794198299496449,187458098,2021-04-13 03:40:49
1381810438082424833,173946251,2021-04-13 03:40:48
1381622293391085569,181453509,2021-04-13 03:40:47
1381527312051671040,21795371,2021-04-13 03:40:46
1381623218864148486,815593771475746816,2021-04-13 03:40:46
1381622293391085569,2933633405,2021-04-13 03:40:46
1381814410142867456,2955994268,2021-04-13 03:40:45
1381622293391085569,29814162,2021-04-13 03:40:45
1381812637441269760,2900608252,2021-04-13 03:40:44
1381622293391085569,1134208044190109711,2021-04-13 03:40:44
1376371507073404930,1302269057077567488,2021-04-13 03:40:44
1381606716836483080,3959935572,2021-04-13 03:40:42
1381771204390875136,948454686209617920,2021-04-13 03:40:42
1349518731773411330,35247174,2021-04-13 03:40:41
1381690214469431297,1330509183167369219,2021-04-13 03:40:40
1381805879008186369,953474824713760769,2021-04-13 03:40:39
1381623233405841409,1242450471010234368,2021-04-13 03:40:37
1380809527663149057,1077866700970717185,2021-04-13 03:40:36
1381777806267326465,885745152,2021-04-13 03:40:36
1381296600333565959,1164209391547011073,2021-04-13 03:40:34
1381622293391085569,3281102474,2021-04-13 03:40:34
1381678051176628224,115921357,2021-04-13 03:40:34
1378846940671139843,1265321081117839363,2021-04-13 03:40:32
1381804352080330753,1262488348058320897,2021-04-13 03:40:32
1381669042772193283,1090949345891905536,2021-04-13 03:40:32
1381622293391085569,66288565,2021-04-13 03:40:32
1381667001400057859,1231911264961490944,2021-04-13 03:40:30
1381614104599617538,2931312878,2021-04-13 03:40:29
1381814216286343168,1291011533615505410,2021-04-13 03:40:28
1381640882890285059,1236502395795820544,2021-04-13 03:40:25
1249543096305500160,219652260,2021-04-13 03:40:24
1381772314359005187,233808995,2021-04-13 03:40:24
1381755810691227648,1235575283110932480,2021-04-13 03:40:23
1381657845301706761,158999262,2021-04-13 03:40:17
1381787939139690498,230246628,2021-04-13 03:40:16
1381643523276075009,258044739,2021-04-13 03:40:15
1381787939139690498,18238445,2021-04-13 03:40:12
1381622293391085569,4712555718,2021-04-13 03:40:11
1381622293391085569,561504123,2021-04-13 03:40:07
1379495035113107458,211357278,2021-04-13 03:40:04
1381810057457860608,895527719613612032,2021-04-13 03:40:03
1381811912204255239,4228728989,2021-04-13 03:40:03
1381622293391085569,189236889,2021-04-13 03:40:03
1381520533288710146,2241802064,2021-04-13 03:40:03
1381617874842882049,479831489,2021-04-13 03:40:01
1381804352080330753,975770708,2021-04-13 03:40:01
1381719357470957569,3741293727,2021-04-13 03:39:58
1381634857009287170,1380551956108746756,2021-04-13 03:39:57
1321340947888852992,37273420,2021-04-13 03:39:57
1381622293391085569,430178825,2021-04-13 03:39:57
1347971329580957696,1337747304196038656,2021-04-13 03:39:54
1381622293391085569,1364884089765986305,2021-04-13 03:39:51
1381644498917236738,1337408057689726980,2021-04-13 03:39:50
1381622293391085569,2796874409,2021-04-13 03:39:50
1381622293391085569,709257010299047938,2021-04-13 03:39:49
1381622293391085569,2220532146,2021-04-13 03:39:49
1381650189413310466,565942601,2021-04-13 03:39:48
1381813462813249544,716214090,2021-04-13 03:39:46
1381594317337239564,1256255480642498560,2021-04-13 03:39:45
1371904777475477509,2375918058,2021-04-13 03:39:43
1381787939139690498,1188244401929310213,2021-04-13 03:39:43
1381810653065846790,4228728989,2021-04-13 03:39:42
1381622293391085569,1272236454,2021-04-13 03:39:42
1366584190481924099,732696685575430144,2021-04-13 03:39:42
1381623183804010498,1242190274761125888,2021-04-13 03:39:39
1381622293391085569,422045548,2021-04-13 03:39:39
1381622293391085569,4195050674,2021-04-13 03:39:38
1381810653065846790,871673565090910208,2021-04-13 03:39:37
